open,high,low,close
1.0893,1.08991,1.08916,1.0894
1.0894,1.09098,1.08904,1.09094
1.09097,1.09221,1.09077,1.09194
1.09192,1.09599,1.09148,1.09578
1.09576,1.09805,1.09521,1.0971
1.09712,1.09923,1.09644,1.09771
1.09772,1.09966,1.0971,1.09824
1.09823,1.09859,1.09686,1.09708
1.09708,1.09758,1.09541,1.09557
1.09554,1.09796,1.09516,1.0957
1.09567,1.10311,1.09339,1.09983
1.09983,1.10168,1.09552,1.09751
1.0975,1.10099,1.09686,1.10069
1.10096,1.10273,1.10012,1.10238
1.10238,1.10357,1.10062,1.10085
1.10086,1.1031,1.09917,1.09992
1.09992,1.10298,1.09925,1.10218
1.10216,1.10835,1.10216,1.10827
1.10828,1.10943,1.10675,1.10772
1.10769,1.10821,1.10685,1.10772
1.10771,1.1101,1.10748,1.11001
1.11003,1.11205,1.109,1.11176
1.11175,1.11459,1.11134,1.11305
1.11304,1.11336,1.10903,1.10985
1.10981,1.11086,1.10815,1.11031
1.11156,1.11267,1.11032,1.11223
1.11223,1.1141,1.11171,1.11341
1.1134,1.11546,1.11166,1.11403
1.11405,1.11419,1.11011,1.11106
1.11107,1.11408,1.1104,1.11304
1.11304,1.1137,1.11229,1.11359
1.11362,1.1139,1.11246,1.11326
1.11327,1.11337,1.11197,1.11264
1.11264,1.1172,1.11156,1.1171
1.11708,1.11883,1.11552,1.11653
1.11651,1.11965,1.11638,1.11745
1.11748,1.11819,1.11616,1.11686
1.11698,1.12019,1.11673,1.11935
1.11935,1.12118,1.11834,1.1204
1.12038,1.12282,1.11916,1.12115
1.12111,1.12275,1.11844,1.11919
1.1192,1.12519,1.1187,1.12372
1.12372,1.12582,1.12324,1.12338
1.12332,1.12381,1.12142,1.12228
1.12229,1.12253,1.12118,1.12162
1.1216,1.12217,1.11952,1.12072
1.12071,1.12727,1.11957,1.12379
1.12376,1.13627,1.12268,1.13297
1.13298,1.13626,1.13266,1.1337
1.13375,1.13452,1.13317,1.13333
1.13333,1.13558,1.13266,1.13476
1.13471,1.13844,1.13268,1.1333
1.1333,1.13442,1.12826,1.12959
1.12962,1.13244,1.1283,1.1291
1.12909,1.12999,1.12784,1.12908
1.12933,1.13203,1.12932,1.12981
1.12981,1.12999,1.12853,1.12892
1.12891,1.13162,1.12814,1.13007
1.13007,1.1307,1.12687,1.12945
1.12945,1.13189,1.12857,1.12915
1.12917,1.13091,1.12897,1.12921
1.12924,1.13157,1.12896,1.13047
1.13048,1.13051,1.12844,1.12859
1.12858,1.12965,1.12411,1.12619
