datetime	Open	High	Low	Close
2021.10.19 00:00	1.16073	1.16685	1.16073	1.16277
2021.10.20 00:00	1.16293	1.16576	1.16158	1.16467
2021.10.21 00:00	1.16472	1.16664	1.16186	1.16192
2021.10.22 00:00	1.16201	1.16548	1.16201	1.16418
2021.10.25 00:00	1.16418	1.16641	1.15896	1.16037
2021.10.26 00:00	1.16071	1.16249	1.15839	1.15943
2021.10.27 00:00	1.15943	1.16251	1.15841	1.15962
2021.10.28 00:00	1.15995	1.16910	1.15812	1.16759
2021.10.29 00:00	1.16781	1.16891	1.15342	1.15582
2021.11.01 00:00	1.15599	1.16082	1.15451	1.16028
2021.11.02 00:00	1.16028	1.16125	1.15741	1.15783
2021.11.03 00:00	1.15783	1.16153	1.15613	1.16113
2021.11.04 00:00	1.16112	1.16154	1.15273	1.15524
2021.11.05 00:00	1.15525	1.15724	1.15123	1.15628
2021.11.08 00:00	1.15595	1.15941	1.15495	1.15810
2021.11.09 00:00	1.15832	1.16080	1.15689	1.15882
2021.11.10 00:00	1.15898	1.15943	1.14737	1.14737
2021.11.11 00:00	1.14748	1.14867	1.14421	1.14454
2021.11.12 00:00	1.14472	1.14613	1.14320	1.14398
2021.11.15 00:00	1.14430	1.14631	1.13553	1.13643
2021.11.16 00:00	1.13664	1.13848	1.13071	1.13150
2021.11.17 00:00	1.13194	1.13312	1.12626	1.13137
2021.11.18 00:00	1.13172	1.13731	1.13128	1.13702
2021.11.19 00:00	1.13702	1.13716	1.12489	1.12795
2021.11.22 00:00	1.12857	1.12895	1.12296	1.12322
2021.11.23 00:00	1.12325	1.12741	1.12251	1.12447
2021.11.24 00:00	1.12447	1.12542	1.11838	1.11967
2021.11.25 00:00	1.11967	1.12287	1.11967	1.12062
2021.11.26 00:00	1.12076	1.13319	1.12040	1.13205
2021.11.29 00:00	1.13036	1.13131	1.12575	1.12858
2021.11.30 00:00	1.12858	1.13819	1.12337	1.13337
2021.12.01 00:00	1.13353	1.13588	1.13015	1.13149
2021.12.02 00:00	1.13173	1.13467	1.12943	1.12959
2021.12.03 00:00	1.12973	1.13325	1.12656	1.13090
2021.12.06 00:00	1.13047	1.13094	1.12654	1.12799
2021.12.07 00:00	1.12796	1.12974	1.12266	1.12667
2021.12.08 00:00	1.12667	1.13538	1.12642	1.13407
2021.12.09 00:00	1.13413	1.13443	1.12775	1.12878
2021.12.10 00:00	1.12890	1.13231	1.12642	1.13122
2021.12.13 00:00	1.13079	1.13183	1.12592	1.12782
2021.12.14 00:00	1.12796	1.13231	1.12527	1.12536
2021.12.15 00:00	1.12556	1.12983	1.12206	1.12887
2021.12.16 00:00	1.12887	1.13595	1.12804	1.13257
2021.12.17 00:00	1.13257	1.13479	1.12337	1.12348
2021.12.20 00:00	1.12348	1.13029	1.12335	1.12719
2021.12.21 00:00	1.12759	1.13018	1.12598	1.12738
2021.12.22 00:00	1.12692	1.13413	1.12633	1.13241
2021.12.23 00:00	1.13235	1.13411	1.12893	1.13228
2021.12.24 00:00	1.13215	1.13427	1.13026	1.13159
2021.12.27 00:00	1.13092	1.13336	1.13019	1.13267
2021.12.28 00:00	1.13269	1.13324	1.12886	1.13091
2021.12.29 00:00	1.13086	1.13679	1.12727	1.13504
2021.12.30 00:00	1.13505	1.13591	1.12978	1.13199
2021.12.31 00:00	1.13199	1.13852	1.13021	1.13670
2022.01.03 00:00	1.13705	1.13772	1.12787	1.12957
2022.01.04 00:00	1.12969	1.13214	1.12712	1.12849
2022.01.05 00:00	1.12845	1.13454	1.12760	1.13118
2022.01.06 00:00	1.13114	1.13307	1.12837	1.12912
2022.01.07 00:00	1.12914	1.13638	1.12891	1.13601
2022.01.10 00:00	1.13520	1.13599	1.12836	1.13232
2022.01.11 00:00	1.13227	1.13748	1.13119	1.13650
2022.01.12 00:00	1.13654	1.14535	1.13540	1.14429
2022.01.13 00:00	1.14425	1.14829	1.14370	1.14556
2022.01.14 00:00	1.14556	1.14839	1.13975	1.14080
2022.01.17 00:00	1.14132	1.14343	1.13911	1.14085
2022.01.18 00:00	1.14088	1.14209	1.13130	1.13211
2022.01.19 00:00	1.13190	1.13560	1.13169	1.13412
2022.01.20 00:00	1.13400	1.13682	1.13017	1.13097
2022.01.21 00:00	1.13100	1.13590	1.12996	1.13404
