datetime,open,high,low,close,atr14,rsi14,delta_close_open,theta,dir_class,dir_name,dir_binary,dir_mask
2025-04-03 20:00:00,1.10387,1.10527,1.10158,1.10512,0.0061099999999999,76.5343469215979,0.0012500000000001,0.0006109999999999,1,bullish,1.0,1
2025-04-04 00:00:00,1.10509,1.10708,1.10367,1.10604,0.0061171428571428,77.18757017192755,0.00095,0.0006117142857142,1,bullish,1.0,1
2025-04-04 04:00:00,1.10604,1.10985,1.10572,1.10873,0.0062728571428571,79.02604799117138,0.00269,0.0006272857142857,1,bullish,1.0,1
2025-04-04 08:00:00,1.10872,1.11076,1.09752,1.09962,0.0070849999999999,61.07463912800894,-0.0090999999999998,0.0007084999999999,-1,bearish,0.0,1
2025-04-04 12:00:00,1.09963,1.10894,1.09646,1.102,0.0078707142857142,63.41293321427143,0.0023699999999999,0.0007870714285714,1,bullish,1.0,1
2025-04-04 16:00:00,1.102,1.1048,1.09601,1.09713,0.0083442857142857,55.99998325541458,-0.0048700000000001,0.0008344285714285,-1,bearish,0.0,1
2025-04-04 20:00:00,1.09713,1.09768,1.09241,1.09607,0.0084821428571428,54.50642384491604,-0.0010599999999998,0.0008482142857142,-1,bearish,0.0,1
2025-04-07 00:00:00,1.08895,1.10011,1.08793,1.09669,0.0089349999999999,55.25808087123475,0.0077399999999998,0.0008934999999999,1,bullish,1.0,1
2025-04-07 04:00:00,1.09668,1.09875,1.09196,1.09849,0.0086085714285714,57.45581595944508,0.0018099999999998,0.0008608571428571,1,bullish,1.0,1
2025-04-07 08:00:00,1.09849,1.105,1.09677,1.09919,0.0084335714285714,58.31338207683589,0.0006999999999999,0.0008433571428571,0,ranging,,0
2025-04-07 12:00:00,1.09919,1.09966,1.0935,1.09737,0.0086014285714285,55.19801716973053,-0.0018199999999999,0.0008601428571428,-1,bearish,0.0,1
2025-04-07 16:00:00,1.09741,1.09825,1.09003,1.09324,0.0083692857142856,48.82368624632479,-0.00417,0.0008369285714285,-1,bearish,0.0,1
2025-04-07 20:00:00,1.09323,1.09523,1.09017,1.09038,0.0077057142857142,44.95232291181848,-0.00285,0.0007705714285714,-1,bearish,0.0,1
2025-04-08 00:00:00,1.09049,1.09504,1.09034,1.09398,0.0073107142857142,50.29495189647826,0.0034899999999999,0.0007310714285714,1,bullish,1.0,1
2025-04-08 04:00:00,1.09398,1.09801,1.09379,1.09759,0.0073485714285713,55.01034659234804,0.0036100000000001,0.0007348571428571,1,bullish,1.0,1
2025-04-08 08:00:00,1.09759,1.09919,1.09214,1.09364,0.0076085714285713,49.47920424190139,-0.0039500000000001,0.0007608571428571,-1,bearish,0.0,1
