profile,fold,row_in_fold,true_open,pred_open,resid_open_pips,abs_resid_open_pips,true_high,pred_high,resid_high_pips,abs_resid_high_pips,true_low,pred_low,resid_low_pips,abs_resid_low_pips,true_close,pred_close,resid_close_pips,abs_resid_close_pips,global_index
h4,21,67,1.1858099699020386,1.1858060456819293,0.03924220109308152,0.03924220109308152,1.1859300136566162,1.1870104703920925,-10.804567354762984,10.804567354762984,1.1851199865341189,1.185251157882962,-1.3117134884321757,1.3117134884321757,1.1853899955749512,1.1858261961574863,-4.3620058253512894,4.3620058253512894,331
h4,21,68,1.185420036315918,1.1858160593136735,-3.9602299775554073,3.9602299775554073,1.1859899759292605,1.185764453191294,2.255227379663882,2.255227379663882,1.1837999820709229,1.1847345879917222,-9.34605920799303,9.34605920799303,1.1848200559616089,1.1853962059973104,-5.761500357015503,5.761500357015503,332
h4,21,69,1.184839963912964,1.1854261237251529,-5.861598121887912,5.861598121887912,1.184980034828186,1.186171054142518,-11.910193143320758,11.910193143320758,1.1832799911499023,1.1836637856470609,-3.8379449715852942,3.8379449715852942,1.1843500137329102,1.1848262633979756,-4.762496650654313,4.762496650654313,333
h4,21,70,1.1843899488449097,1.1848460483433911,-4.560994984814659,4.560994984814659,1.1859099864959717,1.184991562098729,9.184243972426565,9.184243972426565,1.1842299699783323,1.183452154648711,7.778153296214008,7.778153296214008,1.1853100061416626,1.1843562187066603,9.537874350022957,9.537874350022957,334
h4,21,71,1.185289978981018,1.1843960309644044,8.939480166136882,8.939480166136882,1.191849946975708,1.1859600429426411,58.89904033066884,58.89904033066884,1.1807899475097656,1.1845343547730345,-37.44407263268856,37.44407263268856,1.1813100576400757,1.1853162161449462,-40.06158504870516,40.06158504870516,335
h4,21,72,1.1811200380325315,1.185296065722378,-41.76027689846373,41.76027689846373,1.1828700304031372,1.19247323432509,-96.03203921952685,96.03203921952685,1.1811200380325315,1.1803731901390089,7.468478935226397,7.468478935226397,1.182520031929016,1.181316246687075,12.03785241940869,12.03785241940869,336
h4,21,73,1.182520031929016,1.1811261033602694,13.939285687465386,13.939285687465386,1.1828700304031372,1.1817404223237489,11.296080793883334,11.296080793883334,1.1793700456619265,1.1811669219546246,-17.968762926980908,17.968762926980908,1.1794999837875366,1.1825262273152384,-30.262435277017552,30.262435277017552,337
h4,21,74,1.1794999837875366,1.1825261044460498,-30.26120658513154,30.26120658513154,1.1838699579238892,1.1826673002087815,12.026577151076356,12.026577151076356,1.178030014038086,1.1793385591388783,-13.085451007923687,13.085451007923687,1.182770013809204,1.1795061633513084,32.638504578956784,32.638504578956784,338
h4,21,75,1.182770013809204,1.1795060407959166,32.63973013287513,32.63973013287513,1.1848200559616089,1.1845372747461684,2.82781215440453,2.82781215440453,1.1795200109481812,1.1780151179135545,15.04893034626642,15.04893034626642,1.179550051689148,1.182776210505116,-32.261588159681054,32.261588159681054,339
h4,21,76,1.1795200109481812,1.1827760876099531,-32.56076661771967,32.56076661771967,1.1796200275421145,1.1851313752884425,-55.11347746327999,55.11347746327999,1.1750099658966064,1.1798319313216077,-48.2196542500124,48.2196542500124,1.178689956665039,1.1795562315152324,-8.662748501933049,8.662748501933049,340
h4,21,77,1.178689956665039,1.1795260680594053,-8.361113943662346,8.361113943662346,1.1793899536132812,1.178717802659931,6.721509533502701,6.721509533502701,1.1781200170516968,1.174500517026021,36.19500025675792,36.19500025675792,1.1784299612045288,1.1786961319849665,-2.6617078043766895,2.6617078043766895,341
h4,21,78,1.1783000230789185,1.1786960095137402,-3.95986434821749,3.95986434821749,1.179069995880127,1.1792216611714863,-1.5166529135934859,1.5166529135934859,1.177539944648743,1.1785454569551437,-10.055123064007798,10.055123064007798,1.1786500215530396,1.178436135162304,2.13886390735496,2.13886390735496,342
h4,21,79,1.1786400079727173,1.1783060739252194,3.339340474979302,3.339340474979302,1.1792500019073486,1.179487320262182,-2.373183548334268,2.373183548334268,1.1770199537277222,1.1775901494001837,-5.701956724615265,5.701956724615265,1.1773899793624878,1.1786561966637414,-12.66217301253647,12.66217301253647,343
h4,21,80,1.1773899793624878,1.1786460605649205,-12.560812024327017,12.560812024327017,1.1778199672698977,1.179459198412269,-16.392311423714112,16.392311423714112,1.1751099824905396,1.1768587749930777,-17.487925025381212,17.487925025381212,1.1760900020599363,1.177396147871654,-13.061458117176183,13.061458117176183,344
h4,21,81,1.1760900020599363,1.1773960255355014,-13.060234755650768,13.060234755650768,1.1768699884414673,1.1774769299857049,-6.069415442375714,6.069415442375714,1.1728700399398804,1.1748416204497687,-19.715805098883266,19.715805098883266,1.1735999584197998,1.1760961637583418,-24.962053385420013,24.962053385420013,345
h4,21,82,1.1735999584197998,1.1760960415572626,-24.960831374627457,24.960831374627457,1.1767799854278564,1.176640339303521,1.3964612433547963,1.3964612433547963,1.1735299825668335,1.1727416930204275,7.882895464059736,7.882895464059736,1.1753100156784058,1.1736061070725217,17.03908605884097,17.03908605884097,346
h4,21,83,1.1753000020980835,1.173605985130169,16.940169679144912,16.940169679144912,1.175510048866272,1.1769425041992383,-14.324553329663203,14.324553329663203,1.1740599870681765,1.173883274365101,1.76712703075399,1.76712703075399,1.174399971961975,1.1753161732903543,-9.16201328379218,9.16201328379218,347
h4,21,84,1.1741900444030762,1.1753060375385749,-11.159931354987052,11.159931354987052,1.1748199462890625,1.1755290242765255,-7.090779874630027,7.090779874630027,1.17261004447937,1.1742831162515963,-16.7307177222642,16.7307177222642,1.173449993133545,1.1744061248060786,-9.561316725337221,9.561316725337221,348
h4,21,85,1.173449993133545,1.174196074143675,-7.46081010130073,7.46081010130073,1.174090027809143,1.174712845089571,-6.2281728042790085,6.2281728042790085,1.1726399660110474,1.1723464430757395,2.935229353078217,2.935229353078217,1.173069953918457,1.1734561410005775,-3.861870821204594,3.861870821204594,349
h4,21,86,1.1730600595474243,1.1734560190738077,-3.959595263833826,3.959595263833826,1.1769200563430786,1.1740048680152588,29.151883278197843,29.151883278197843,1.1729799509048462,1.1725631932093374,4.167576955087515,4.167576955087515,1.1762299537658691,1.173076099794412,31.538539714570657,31.538539714570657,350
h4,21,87,1.1762299537658691,1.1730660834852866,31.638702805825147,31.638702805825147,1.178730010986328,1.1773014704430025,14.285405433254184,14.285405433254184,1.1761499643325806,1.173092507097578,30.57457235002614,30.57457235002614,1.1783000230789185,1.1762361161975008,20.639068814176653,20.639068814176653,351
h4,21,88,1.1783599853515625,1.1762359939818798,21.23991369682665,21.23991369682665,1.179010033607483,1.1789402665399753,0.6976706750760897,0.6976706750760897,1.1762700080871582,1.176569131912648,-2.9912382548968885,2.9912382548968885,1.1787999868392944,1.1783061963559298,4.937904833646201,4.937904833646201,352
h4,21,89,1.1787999868392944,1.1783660365057838,4.339503335106798,4.339503335106798,1.1802699565887451,1.1788093016757109,14.60654913034265,14.60654913034265,1.1785600185394287,1.176122947011902,24.37071527526813,24.37071527526813,1.1802200078964231,1.1788061627356852,14.138451607379476,14.138451607379476,353
h4,21,90,1.1793899536132812,1.1788060402530265,5.839133602547619,5.839133602547619,1.1807299852371216,1.180244491891716,4.854933454054855,4.854933454054855,1.179260015487671,1.178558661061119,7.013544265519478,7.013544265519478,1.1806199550628662,1.1802261912325012,3.937638303650459,3.937638303650459,354
h4,21,91,1.1806199550628662,1.1793960100566303,12.239450062359047,12.239450062359047,1.1820000410079956,1.1808309716520038,11.690693559918142,11.690693559918142,1.1796599626541138,1.179174447328705,4.8551532540885844,4.8551532540885844,1.1797599792480469,1.1806261404943226,-8.661612462756985,8.661612462756985,355
h4,21,92,1.179710030555725,1.1806260178225607,-9.159872668356162,9.159872668356162,1.1805299520492554,1.1821563882358577,-16.26436186602298,16.26436186602298,1.177780032157898,1.1795947661378607,-18.147339799627904,18.147339799627904,1.1802699565887451,1.1797661601739708,5.037964147742713,5.037964147742713,356
h4,21,93,1.1802799701690674,1.1797160886427445,5.63881526322918,5.63881526322918,1.1812299489974976,1.180295096688949,9.348523085486171,9.348523085486171,1.178439974784851,1.1775286947561132,9.112800287378597,9.112800287378597,1.179669976234436,1.180276140186511,-6.061639520749118,6.061639520749118,357
h4,21,94,1.1796799898147583,1.18028603118286,-6.060413681017174,6.060413681017174,1.1809200048446655,1.1812349153782074,-3.149105335418234,3.149105335418234,1.1784199476242063,1.1786093506901572,-1.8940306595083278,1.8940306595083278,1.180490016937256,1.179676156688822,8.138602484339952,8.138602484339952,358
h4,21,95,1.1804800033569336,1.1796860477475113,7.9395560942230325,7.9395560942230325,1.1818300485610962,1.1809829957555742,8.470528055219972,8.470528055219972,1.1802799701690674,1.178543023447404,17.369467216634682,17.369467216634682,1.1813900470733645,1.1804962016879483,8.938453854161477,8.938453854161477,359
h4,21,96,1.1812399625778198,1.1804860653979434,7.538971798763949,7.538971798763949,1.1818000078201294,1.1819537051534872,-1.53697333357794,1.53697333357794,1.1803200244903564,1.1804830793142302,-1.6305482387379833,1.6305482387379833,1.1803799867630005,1.1813962365394397,-10.162497764392153,10.162497764392153,360
h4,21,97,1.1803799867630005,1.181246028521398,-8.6604175839744,8.6604175839744,1.1805100440979004,1.1817522405355867,-12.421964376863048,12.421964376863048,1.179479956626892,1.1801846544103332,-7.0469778344106615,7.0469778344106615,1.1802899837493896,1.1803861709372296,-0.9618718783999114,0.9618718783999114,361
h4,21,98,1.1802899837493896,1.1803860482904016,-0.9606454101196427,0.9606454101196427,1.180500030517578,1.1802931171851558,2.069133324220651,2.069133324220651,1.1766300201416016,1.1792252947486803,-25.95274607078757,25.95274607078757,1.1771800518035889,1.1802961674520809,-31.161156484920127,31.161156484920127,362
h4,21,99,1.1771800518035889,1.1802960448146045,-31.159930110156164,31.159930110156164,1.1774699687957764,1.1805312136839132,-30.612448881368604,30.612448881368604,1.173930048942566,1.1763199640190038,-23.899150764379318,23.899150764379318,1.1742700338363647,1.1771862192129157,-29.16185376550917,29.16185376550917,363
h4,21,100,1.1742600202560425,1.1771860968985752,-29.26076642532749,29.26076642532749,1.1746200323104858,1.1772569855509287,-26.369532404428853,26.369532404428853,1.1728099584579468,1.1738627801713628,-10.5282171341603,10.5282171341603,1.1732499599456787,1.1742761859997044,-10.262260540256918,10.262260540256918,364
h4,21,101,1.1732499599456787,1.1742660503559836,-10.160904103049262,10.160904103049262,1.1740700006484983,1.1743666914430615,-2.9669079456318137,2.9669079456318137,1.17316997051239,1.173052180678302,1.1778983408783361,1.1778983408783361,1.173740029335022,1.17325610676471,4.839225703119343,4.839225703119343,365
h4,21,102,1.1738100051879885,1.173255984858724,5.5402032926443745,5.5402032926443745,1.1748299598693848,1.1741846718315518,6.452880378329251,6.452880378329251,1.1737300157546997,1.1734708998792622,2.591158754374767,2.591158754374767,1.1747299432754517,1.1737461787215946,9.837645538570694,9.837645538570694,366
h4,21,103,1.174739956855774,1.1738160329769969,9.239238787770443,9.239238787770443,1.1753699779510498,1.1750945255427243,2.754524083254939,2.754524083254939,1.1740599870681765,1.1738008658509331,2.5912121724336323,2.5912121724336323,1.1751999855041504,1.1747360978483206,4.6388765582983105,4.6388765582983105,367
